des_name,hba_moles,hbd_moles,hbd_hba_ratio,temperature_c,inv_temperature,temp_x_dipole,temp_x_solvation,weighted_lumo_energy_ev,weighted_dipole_total,weighted_solvation_energy_eh,weighted_dispersion_energy_eh,weighted_total_energy_eh,dipole_total_difference,total_energy_eh_difference,hba_mw,hbd_mw,avg_molecular_weight,mw_ratio,hba_hbd_count,hbd_hbd_count,hba_hba_count,hbd_hba_count,total_hbond_donors,total_hbond_acceptors,hbond_network_strength,donor_acceptor_ratio,interaction_strength,viscosity_cp
BMC:12BD,1.0,1.0,1.0,50,3.09453814,-82.6,-4.3405419,-6.4703,-1.652,-0.086810838,-0.021745251,-32.16403283,11.48028906,38.55686297,150.25,90.12,120.185,1.667221482,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.108556089,43.2
BBC:EG,1.0,1.0,1.0,25,3.354016435,-19.95,-1.601422725,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,276.49,62.07,169.28,4.45448687,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.065885875,1.1145
BBC:EG,1.0,1.0,1.0,30,3.298697015,-23.94,-1.92170727,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,276.49,62.07,169.28,4.45448687,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.065885875,258.0
BBC:EG,1.0,1.0,1.0,35,3.245172805,-27.93,-2.241991815,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,276.49,62.07,169.28,4.45448687,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.065885875,118.3
BBC:EG,1.0,1.0,1.0,40,3.193357816,-31.92,-2.56227636,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,276.49,62.07,169.28,4.45448687,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.065885875,56.3
BBC:EG,1.0,1.0,1.0,45,3.14317146,-35.91,-2.882560905,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,276.49,62.07,169.28,4.45448687,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.065885875,28.5
BBC:EG,1.0,1.0,1.0,50,3.09453814,-39.9,-3.20284545,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,276.49,62.07,169.28,4.45448687,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.065885875,22.7
BBC:16HD,1.0,1.0,1.0,25,3.354016435,-4.225,-2.8431847,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,118.18,197.335,2.339566763,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,1.1203
BBC:16HD,1.0,1.0,1.0,30,3.298697015,-5.07,-3.41182164,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,118.18,197.335,2.339566763,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,314.3
BBC:16HD,1.0,1.0,1.0,35,3.245172805,-5.915,-3.98045858,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,118.18,197.335,2.339566763,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,150.7
BBC:16HD,1.0,1.0,1.0,40,3.193357816,-6.76,-4.54909552,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,118.18,197.335,2.339566763,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,73.9
BBC:16HD,1.0,1.0,1.0,45,3.14317146,-7.605,-5.11773246,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,118.18,197.335,2.339566763,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,42.6
BBC:16HD,1.0,1.0,1.0,50,3.09453814,-8.45,-5.6863694,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,118.18,197.335,2.339566763,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,36.7
BBC:12BD,1.0,1.0,1.0,25,3.354016435,-4.225,-2.8431847,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,90.12,183.305,3.068020417,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,1.0801
BBC:12BD,1.0,1.0,1.0,30,3.298697015,-5.07,-3.41182164,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,90.12,183.305,3.068020417,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,285.7
BBC:12BD,1.0,1.0,1.0,35,3.245172805,-5.915,-3.98045858,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,90.12,183.305,3.068020417,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,149.5
BBC:12BD,1.0,1.0,1.0,40,3.193357816,-6.76,-4.54909552,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,90.12,183.305,3.068020417,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,82.4
BBC:12BD,1.0,1.0,1.0,45,3.14317146,-7.605,-5.11773246,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,90.12,183.305,3.068020417,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,78.8
BBC:12BD,1.0,1.0,1.0,50,3.09453814,-8.45,-5.6863694,3.6635,-0.169,-0.113727388,0.0,-4.898861342,11.48028906,38.55686297,276.49,90.12,183.305,3.068020417,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.113727388,69.4
G:12BD,1.0,2.0,2.0,25,3.354016435,233.325,-0.914834,-0.2202,9.333,-0.03659336,-0.020279699,-43.38695354,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.056873059,1.2423
G:12BD,1.0,2.0,2.0,30,3.298697015,279.99,-1.0978008,-0.2202,9.333,-0.03659336,-0.020279699,-43.38695354,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.056873059,487.6
G:12BD,1.0,2.0,2.0,35,3.245172805,326.655,-1.2807676,-0.2202,9.333,-0.03659336,-0.020279699,-43.38695354,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.056873059,228.6
G:12BD,1.0,2.0,2.0,40,3.193357816,373.32,-1.4637344,-0.2202,9.333,-0.03659336,-0.020279699,-43.38695354,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.056873059,92.3
G:12BD,1.0,2.0,2.0,45,3.14317146,419.985,-1.6467012,-0.2202,9.333,-0.03659336,-0.020279699,-43.38695354,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.056873059,87.7
G:12BD,1.0,2.0,2.0,50,3.09453814,466.65,-1.829668,-0.2202,9.333,-0.03659336,-0.020279699,-43.38695354,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.056873059,81.6
